hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
3,6,2,1,dSocdt_h6_day_minus1,682,-0.681999981,dSocdt,1
3,7,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,7,1,1,dSocdt_h3_day_minus1,679,-1.15460002,dSocdt,1
3,7,2,1,dSocdt_h7_day_minus2,631,-0.435600013,dSocdt,2
3,8,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,8,1,1,dSocdt_h10_day_minus2,634,-12.4540005,dSocdt,2
3,8,2,1,dSocdt_h23_day_minus1,699,-0.574199975,dSocdt,1
3,9,0,0,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,9,1,1,dSocdt_h0_day_minus2,624,-10.4287996,dSocdt,2
3,9,2,1,dSocdt_h5_day_minus1,681,-0.184,dSocdt,1
3,10,0,0,dSocdt_h5_day_minus1,681,-0.855599999,dSocdt,1
3,10,1,1,Soc_h6_day_minus1,706,91.7947998,Soc,1
3,10,2,1,dSocdt_h2_day_minus1,678,-10.2467003,dSocdt,1
3,11,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,11,1,1,dSocdt_h10_day_minus2,634,-12.4540005,dSocdt,2
3,11,2,1,dSocdt_h23_day_minus1,699,-2.89770007,dSocdt,1
3,12,0,0,dSocdt_h3_day_minus1,679,-5.96280003,dSocdt,1
3,12,1,1,dSocdt_h19_day_minus3,591,-13.1322002,dSocdt,3
3,12,2,1,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,13,0,0,day_day_minus1,725,24.0,Date,1
3,13,1,1,dSocdt_h5_day_minus1,681,-0.445199996,dSocdt,1
3,13,2,1,Soc_h17_day_minus4,561,97.7485962,Soc,4
3,14,0,0,dSocdt_h7_day_minus2,631,-0.466600001,dSocdt,2
3,14,1,1,dSocdt_h19_day_minus5,487,-19.7397003,dSocdt,5
3,14,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
3,15,0,0,dSocdt_h3_day_minus1,679,-5.96280003,dSocdt,1
3,15,1,1,dSocdt_h19_day_minus3,591,-13.1322002,dSocdt,3
3,15,2,1,day_day_minus1,725,25.0,Date,1
3,16,0,0,dSocdt_h3_day_minus1,679,-5.96280003,dSocdt,1
3,16,1,1,dSocdt_h19_day_minus3,591,-13.1322002,dSocdt,3
3,16,2,1,dSocdt_h3_day_minus2,627,-0.275200009,dSocdt,2
3,17,0,0,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,17,1,1,dSocdt_h0_day_minus2,624,-10.4287996,dSocdt,2
3,17,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
3,18,0,0,day_day_minus1,725,24.0,Date,1
3,18,1,1,dSocdt_h21_day_minus1,697,-19.8645992,dSocdt,1
3,18,2,1,Soc_h17_day_minus4,561,97.7485962,Soc,4
3,19,0,0,dSocdt_h3_day_minus1,679,-1.15170002,dSocdt,1
3,19,1,1,dSocdt_h10_day_minus2,634,-12.4540005,dSocdt,2
3,19,2,1,dSocdt_h23_day_minus1,699,-2.89770007,dSocdt,1
3,20,0,0,dSocdt_h7_day_minus2,631,-0.466600001,dSocdt,2
3,20,1,1,dSocdt_h19_day_minus5,487,-19.7397003,dSocdt,5
3,20,2,1,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
3,21,0,0,dSocdt_h3_day_minus1,679,-5.96280003,dSocdt,1
3,21,1,1,dSocdt_h7_day_minus1,683,-1.42820001,dSocdt,1
3,21,2,1,dSocdt_h10_day_minus2,634,-16.5018997,dSocdt,2
3,22,0,0,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
3,22,1,1,Soc_h10_day_minus2,658,18.6327,Soc,2
3,22,2,1,dSocdt_h3_day_minus1,679,-0.981000006,dSocdt,1
3,23,0,0,day_day_minus1,725,24.0,Date,1
3,23,1,1,dSocdt_h21_day_minus1,697,-19.8645992,dSocdt,1
3,23,2,1,Soc_h17_day_minus4,561,97.7485962,Soc,4
3,24,0,0,dSocdt_h2_day_minus2,626,-11.1836004,dSocdt,2
3,24,1,1,Soc_h10_day_minus2,658,18.6327,Soc,2
3,24,2,1,day_day_minus1,725,24.0,Date,1
4,0,0,0,dSocdt_h4_day_minus1,680,-0.362500012,dSocdt,1
4,0,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,0,2,1,dSocdt_h23_day_minus1,699,-0.135800004,dSocdt,1
4,1,0,0,dSocdt_h5_day_minus1,681,-0.784500003,dSocdt,1
4,1,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,1,2,1,dSocdt_h23_day_minus1,699,-0.135800004,dSocdt,1
4,2,0,0,dSocdt_h5_day_minus1,681,-0.784500003,dSocdt,1
4,2,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
4,2,2,1,dSocdt_h6_day_minus2,630,-0.135800004,dSocdt,2
4,3,0,0,dSocdt_h5_day_minus1,681,-0.784500003,dSocdt,1
4,3,1,1,Soc_h10_day_minus1,710,2.92840004,Soc,1
